OID_,mem_point_LineOID,mem_point_Value,Movement_Merge_FID,Movement_Merge_Id,Movement_Merge_Length,Movement_Merge_Distance,Movement_Merge_UniID,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
903,902,0,902,0,5,4.54923846046,903,823054.7827,9896680.754,7.3194895,1.4153589,0.6535677,1,787.261693356969
904,903,0,903,0,5,5.49553986848,904,822973.8933,9896697.2534,6.319232,3.1445773,1.0632107,1,807.837654307466
905,904,0,904,0,4,3.99388638259,905,823111.194,9896565.4379,6.2782478,2.3338161,0.4771185,1,857.114723811436
906,905,0,905,0,6,6.23321584858,906,823233.0528,9896470.1122,7.2193017,1.3472214,1.7485021,1,872.920353163444
907,906,0,906,0,6,6.4175448885,907,823354.9901,9896626.3634,6.4400377,2.8287797,0.3651071,1,675.734195567161
908,907,0,907,0,6,6.30051722247,908,823584.4265,9896603.21,6.8134847,1.965701,0.3163572,1,519.737973466577
909,908,0,908,0,9,8.69236689318,909,823765.1866,9896779.277,5.6811786,6.1715989,0,1,281.779842304357
910,909,0,909,0,7,6.65964031309,910,823674.9856,9896691.4606,5.6811786,6.1715989,0.02639,1,404.299876361981
911,910,0,910,0,4,3.66125874808,911,823552.838,9896678.6578,6.68782,2.1612301,0.1962929,1,515.641645169869
912,911,0,911,0,5,4.54678949926,912,823500.3669,9896617.0788,6.8440733,1.9840595,0.3604525,1,592.310365761565
913,912,0,912,0,5,5.33428234851,913,822982.9502,9896600.9161,6.9800911,1.3967711,1.0374246,1,890.470695263687
914,913,0,913,0,4,4.10750194219,914,822792.4366,9895475.8937,7.6264348,1.1301914,5.7177315,1,1698.30260371423
915,914,0,914,0,9,9.25567182472,915,822793.7116,9894940.7813,5.7903056,5.300199,2.4778357,1,2020.24019697297
916,915,0,915,0,8,8.15327349173,916,822841.7667,9894872.9303,5.5044947,8.555398,3.1113391,1,2033.39116068659
